Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source,Purpose Description,Source Description,Importer Country Name,Exporter Country Name
2017,II,Cycas thouarsii,,Cycadales,Cycadaceae,Cycas,NL,CR,,,65.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Netherlands,Costa Rica
2017,II,Euphorbia tirucalli,,Euphorbiales,Euphorbiaceae,Euphorbia,NL,CR,,,24000.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Netherlands,Costa Rica
2017,II,Dioon spinulosum,,Cycadales,Zamiaceae,Dioon,NL,CR,,,1500.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Netherlands,Costa Rica
2017,II,Zamia integrifolia,,Cycadales,Zamiaceae,Zamia,NL,CR,,,1500.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Netherlands,Costa Rica
2017,II,Cycas revoluta,,Cycadales,Cycadaceae,Cycas,QA,CR,,,14000.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Qatar,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,BB,CR,,,350.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Barbados,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,CL,CR,,,760.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Chile,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,CO,CR,,,93200.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Colombia,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,DO,CR,,,66000.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Dominican Republic,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,GT,CR,,,316700.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Guatemala,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,HN,CR,,,1450.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Honduras,Costa Rica
2017,II,Amazona farinosa,Aves,Psittaciformes,Psittacidae,Amazona,HN,CR,,,1.0,live,,P,F,Personal,"Animals born in captivity (F1 or subsequent generations) that do not fulfil the definition of 'bred in captivity' in Resolution Conf. 10.16 (Rev.), as well as parts and derivatives thereof.",Honduras,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,JM,CR,,,5500.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Jamaica,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,JM,CR,,,200.0,live,,T,O,Commercial,Pre-Convention specimens,Jamaica,Costa Rica
2017,II,Phalaenopsis spp.,,Orchidales,Orchidaceae,Phalaenopsis,PR,CR,,,4300.0,live,,T,A,Commercial,"Plants that are artificially propagated in accordance with Resolution Conf. 11.11 (Rev. CoP15), as well as parts and derivatives thereof, exported under the provisions of Article VII, paragraph 5, of the Convention (specimens of species included in Appendix I that have been propagated artificially for non-commercial purposes and specimens of species included in Appendices II and III).",Puerto Rico,Costa Rica
2017,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,US,RW,,,4901.0,specimens,g,S,W,Scientific,Specimens taken from the wild.,United States of America,Rwanda
2017,I,Gorilla beringei,Mammalia,Primates,Hominidae,Gorilla,US,RW,,,4.8,specimens,ml,S,W,Scientific,Specimens taken from the wild.,United States of America,Rwanda
2017,II,Cercopithecus kandti,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,RW,,,1.6,specimens,ml,S,W,Scientific,Specimens taken from the wild.,United States of America,Rwanda
2017,II,Cercopithecus lhoesti,Mammalia,Primates,Cercopithecidae,Cercopithecus,US,RW,,,12.0,specimens,ml,S,W,Scientific,Specimens taken from the wild.,United States of America,Rwanda
2017,II,Chlorocebus aethiops,Mammalia,Primates,Cercopithecidae,Chlorocebus,US,RW,,,28.8,specimens,ml,S,W,Scientific,Specimens taken from the wild.,United States of America,Rwanda
